age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,sex,native-country,class
24.0,374771.56,9.0,0.0,0.0,50.0,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
37.0,289707.72,13.0,0.0,0.0,45.0,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
29.0,185585.08,13.0,0.0,0.0,40.0,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,<=50K
41.0,160972.98,9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
26.0,97246.61,9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,United-States,<=50K
38.0,183667.78,9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,<=50K
51.0,148519.77,9.0,0.0,0.0,54.0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
25.0,54648.535,9.0,0.0,0.0,40.0,Local-gov,HS-grad,Never-married,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Female,United-States,<=50K
25.0,314149.78,10.0,0.0,0.0,40.0,Private,Some-college,Never-married,Craft-repair,Own-child,White,Male,United-States,<=50K
55.0,105418.43,13.0,0.0,0.0,40.0,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
26.0,192940.28,10.0,0.0,0.0,40.0,Private,Some-college,Never-married,Sales,Not-in-family,White,Male,United-States,<=50K
90.0,203389.53,1.0,15024.0,0.0,20.0,Private,10th,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
19.0,68999.055,10.0,0.0,0.0,1.0,Private,Some-college,Never-married,Sales,Not-in-family,White,Female,United-States,<=50K
44.0,344177.34,9.0,0.0,3770.0,50.0,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
32.0,217181.52,10.0,0.0,0.0,40.0,Private,Some-college,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
27.0,153956.33,9.0,0.0,0.0,55.0,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,<=50K
49.0,140703.66,9.0,0.0,0.0,50.0,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
56.0,174183.02,9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Adm-clerical,Other-relative,White,Male,United-States,<=50K
29.0,13492.0,10.0,0.0,0.0,40.0,Private,Some-college,Divorced,Craft-repair,Unmarried,White,Male,United-States,<=50K
17.0,376984.06,10.0,0.0,0.0,20.0,Private,Some-college,Never-married,Sales,Own-child,White,Male,United-States,<=50K
32.56448,145425.45,9.0,0.0,0.0,51.359127,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
39.0,129572.586,9.0,15024.0,0.0,50.0,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Male,United-States,<=50K
30.0,284445.38,10.0,0.0,0.0,50.0,Self-emp-inc,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,<=50K
39.0,220806.02,10.0,0.0,0.0,40.0,State-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
25.0,192665.45,9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Amer-Indian-Eskimo,Male,United-States,<=50K
23.0,202215.62,9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Sales,Own-child,White,Male,United-States,<=50K
42.0,186353.16,9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,United-States,<=50K
59.0,316139.62,9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,Cuba,<=50K
53.0,164043.94,13.0,0.0,0.0,48.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
30.0,210489.95,10.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,<=50K
30.0,182822.73,9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,<=50K
24.0,245380.88,9.0,0.0,0.0,1.0,Private,HS-grad,Never-married,Sales,Not-in-family,White,Female,United-States,<=50K
50.0,273630.34,9.0,0.0,0.0,35.0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
22.0,168513.45,9.0,0.0,0.0,1.0,Private,HS-grad,Never-married,Sales,Not-in-family,White,Female,United-States,<=50K
23.0,201511.78,10.0,0.0,0.0,10.0,Private,Some-college,Never-married,Sales,Own-child,White,Male,United-States,<=50K
45.0,13492.0,9.0,0.0,0.0,40.0,Private,10th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,<=50K
33.0,167916.19,9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,China,<=50K
47.0,154717.36,13.0,0.0,0.0,50.0,Federal-gov,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
45.0,184359.44,9.0,0.0,0.0,40.0,Private,HS-grad,Separated,Sales,Not-in-family,White,Female,United-States,<=50K
48.0,13492.0,10.0,0.0,0.0,40.0,Private,Some-college,Never-married,Sales,Other-relative,White,Male,United-States,<=50K
32.0,161418.55,13.0,0.0,0.0,52.0,Private,Assoc-acdm,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
22.0,163852.42,1.0,0.0,0.0,21.0,Private,9th,Never-married,Other-service,Own-child,Black,Female,United-States,<=50K
57.0,115713.99,9.0,0.0,3770.0,40.0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
60.0,113309.664,10.0,0.0,1977.0,40.0,Private,Assoc-voc,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
50.18346,153291.6,10.0,0.0,0.0,55.0,Self-emp-not-inc,Some-college,Never-married,Other-service,Not-in-family,White,Female,United-States,<=50K
56.0,185253.84,10.0,0.0,0.0,1.0,,Some-college,Married-civ-spouse,,Husband,White,Male,United-States,>50K
38.0,173282.45,13.0,0.0,0.0,40.0,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
17.0,310494.9,10.0,0.0,0.0,40.0,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Male,United-States,<=50K
32.0,143329.52,13.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
19.0,1484705.0,1.0,0.0,0.0,40.0,Private,11th,Never-married,Exec-managerial,Not-in-family,White,Male,Jamaica,<=50K
38.0,207077.52,10.0,0.0,0.0,50.0,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,>50K
41.0,265693.47,10.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,>50K
38.0,213178.22,13.0,0.0,0.0,50.0,Private,Bachelors,Never-married,Tech-support,Other-relative,Black,Female,,<=50K
31.0,167842.3,9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
17.0,405869.5,10.0,0.0,0.0,25.0,Private,Some-college,Never-married,Sales,Own-child,White,Male,United-States,<=50K
35.0,1484705.0,10.0,8837.061,0.0,40.0,Private,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
60.0,184550.22,13.0,0.0,0.0,40.0,Private,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
34.0,228455.39,10.0,0.0,0.0,38.0,Private,Some-college,Never-married,Prof-specialty,Not-in-family,White,Male,Peru,<=50K
38.0,127891.88,12.0,7835.4497,0.0,32.0,Self-emp-inc,Assoc-acdm,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
39.0,298994.1,1.0,0.0,0.0,40.0,Private,5th-6th,Separated,Transport-moving,Not-in-family,White,Male,Mexico,<=50K
37.0,308228.9,10.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
38.0,223909.72,9.0,0.0,0.0,40.0,Private,11th,Never-married,Machine-op-inspct,Own-child,White,Male,United-States,<=50K
51.0,13492.0,9.0,0.0,0.0,55.0,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,United-States,<=50K
17.0,214438.19,1.0,0.0,0.0,40.0,Private,10th,Never-married,Farming-fishing,Not-in-family,White,Male,Mexico,<=50K
33.0,299822.97,13.0,0.0,0.0,50.0,Local-gov,Bachelors,Never-married,Tech-support,Not-in-family,White,Female,United-States,<=50K
47.0,212329.6,9.0,0.0,0.0,35.0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
90.0,209607.4,9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Black,Female,United-States,<=50K
17.0,347954.25,10.0,0.0,0.0,1.0,Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
24.0,154513.64,9.0,0.0,0.0,20.0,Private,9th,Never-married,Other-service,Unmarried,Black,Male,United-States,<=50K
24.0,156602.48,10.0,0.0,0.0,45.0,Private,Assoc-voc,Never-married,Exec-managerial,Own-child,White,Male,,<=50K
46.0,146057.78,10.0,0.0,0.0,48.67996,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,>50K
39.0,102241.31,10.0,0.0,0.0,50.0,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
29.0,223700.52,9.0,0.0,0.0,40.0,Private,1st-4th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Mexico,<=50K
54.0,109560.51,9.0,5178.0,0.0,50.0,Private,HS-grad,Never-married,Sales,Unmarried,White,Female,United-States,<=50K
33.0,95225.29,13.0,0.0,2321.7441,50.0,Private,Bachelors,Divorced,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,Philippines,>50K
33.0,110839.59,10.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
23.0,171579.23,9.0,0.0,0.0,40.0,Private,HS-grad,Separated,Adm-clerical,Unmarried,Black,Female,United-States,<=50K
17.0,270750.62,10.0,0.0,0.0,1.0,Private,Some-college,Never-married,Sales,Own-child,White,Female,United-States,<=50K
27.0,219988.31,13.0,0.0,3770.0,40.0,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,India,<=50K
43.0,13492.0,13.0,7298.0,0.0,50.0,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
36.0,352655.9,9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,United-States,<=50K
29.0,223929.64,9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
17.0,409764.62,10.0,0.0,0.0,40.0,Local-gov,Some-college,Never-married,Protective-serv,Own-child,White,Female,United-States,<=50K
90.0,107237.414,9.0,0.0,3770.0,50.0,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,White,Female,United-States,>50K
31.0,260665.28,13.0,0.0,3770.0,40.0,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,>50K
54.0,64233.633,12.0,10520.0,0.0,40.0,Self-emp-inc,Assoc-acdm,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
36.0,206587.1,10.0,0.0,0.0,40.0,Private,Some-college,Divorced,Exec-managerial,Unmarried,White,Male,United-States,<=50K
44.0,169442.75,9.0,0.0,0.0,48.0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
30.0,112131.984,10.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,<=50K
45.0,361975.97,13.0,99999.0,0.0,40.0,Local-gov,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,>50K
17.0,187345.9,10.0,0.0,0.0,45.0,Private,Some-college,Never-married,Sales,Not-in-family,Other,Male,Thailand,<=50K
36.0,124981.11,9.0,0.0,0.0,40.0,Federal-gov,HS-grad,Never-married,Adm-clerical,Unmarried,Black,Female,United-States,<=50K
34.676163,120612.266,1.0,0.0,0.0,20.0,,7th-8th,Separated,,Not-in-family,White,Male,United-States,<=50K
17.0,82798.65,10.0,0.0,0.0,20.0,,Some-college,Never-married,,Own-child,White,Male,United-States,<=50K
62.0,173413.53,1.0,0.0,0.0,40.0,Self-emp-not-inc,11th,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
36.0,172246.86,10.0,0.0,0.0,60.0,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
32.0,44556.91,10.0,0.0,0.0,40.0,Private,Some-college,Never-married,Tech-support,Not-in-family,White,Male,United-States,<=50K
56.0,180900.64,9.0,0.0,0.0,55.0,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
47.0,194641.5,9.0,7688.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
38.0,13492.0,9.0,0.0,0.0,39.234947,State-gov,HS-grad,Never-married,Other-service,Unmarried,Asian-Pac-Islander,Female,United-States,<=50K
50.0,185462.86,12.0,15024.0,0.0,55.0,Private,Assoc-voc,Divorced,Exec-managerial,Unmarried,White,Female,United-States,>50K
47.0,835661.06,10.0,99999.0,0.0,40.0,Local-gov,Some-college,Separated,Prof-specialty,Not-in-family,Black,Female,United-States,>50K
55.0,225414.27,9.0,0.0,0.0,40.0,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,Germany,<=50K
45.0,168005.4,9.0,0.0,3770.0,40.0,Local-gov,HS-grad,Never-married,Adm-clerical,Unmarried,White,Female,United-States,<=50K
32.0,186576.88,9.0,0.0,0.0,60.0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
49.0,237371.56,13.0,99999.0,0.0,50.0,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
18.0,147271.34,1.0,0.0,0.0,40.0,,10th,Separated,,Unmarried,White,Female,United-States,<=50K
61.0,160848.75,13.0,0.0,1977.0,32.0,Private,Bachelors,Widowed,Prof-specialty,Not-in-family,White,Female,United-States,>50K
90.0,154132.95,15.0,0.0,0.0,40.0,Self-emp-inc,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
32.0,203907.75,10.0,0.0,0.0,72.0,Private,Some-college,Divorced,Transport-moving,Unmarried,White,Male,United-States,<=50K
46.0,210057.95,13.0,7298.0,0.0,40.0,Self-emp-not-inc,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,Canada,<=50K
29.0,36014.754,9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Other-service,Not-in-family,Amer-Indian-Eskimo,Female,United-States,<=50K
40.0,126390.53,13.0,0.0,0.0,40.0,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
38.0,110931.89,13.0,0.0,0.0,50.0,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
31.0,96990.484,9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K
36.0,207648.95,10.0,0.0,0.0,40.0,Federal-gov,Some-college,Never-married,Tech-support,Unmarried,White,Female,United-States,<=50K
32.0,13492.0,9.0,0.0,0.0,50.0,Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,White,Female,United-States,<=50K
45.0,1484705.0,1.0,0.0,0.0,40.0,Private,5th-6th,Married-spouse-absent,Handlers-cleaners,Unmarried,Black,Male,Mexico,<=50K
35.90228,271411.0,13.0,0.0,0.0,56.0,Self-emp-not-inc,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,United-States,>50K
51.68504,320326.62,13.0,0.0,0.0,55.0,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
39.0,175462.92,9.0,0.0,0.0,50.0,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
20.0,198263.27,12.0,0.0,0.0,40.0,State-gov,Assoc-voc,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Male,Vietnam,<=50K
58.0,13492.0,9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Female,United-States,<=50K
41.0,176088.31,10.0,0.0,0.0,40.0,Local-gov,Some-college,Never-married,Tech-support,Other-relative,White,Female,United-States,>50K
46.0,275489.06,10.0,0.0,0.0,44.0,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,>50K
30.0,1484705.0,10.0,0.0,0.0,40.0,,Some-college,Married-civ-spouse,,Husband,White,Male,United-States,<=50K
50.0,182349.1,9.0,0.0,0.0,50.0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
37.0,199028.75,9.0,20051.0,0.0,55.0,Private,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Male,United-States,>50K
46.0,170525.52,9.0,0.0,0.0,40.0,Private,12th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
28.0,33214.117,9.0,0.0,0.0,40.0,Private,9th,Never-married,Handlers-cleaners,Other-relative,White,Male,United-States,<=50K
29.0,179259.7,9.0,0.0,0.0,50.0,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,Canada,<=50K
42.0,210658.94,1.0,0.0,0.0,40.0,Private,9th,Divorced,Machine-op-inspct,Unmarried,White,Female,United-States,<=50K
38.0,133712.77,9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,<=50K
51.0,240607.11,9.0,0.0,0.0,35.0,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
26.0,340334.06,9.0,0.0,0.0,60.0,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,Yugoslavia,<=50K
75.425125,174778.89,13.0,0.0,0.0,40.0,Self-emp-not-inc,Doctorate,Married-civ-spouse,Other-service,Husband,White,Male,United-States,<=50K
25.0,210495.19,5.0,0.0,0.0,40.0,,10th,Never-married,Other-service,Not-in-family,Black,Male,United-States,<=50K
50.0,114252.37,1.0,0.0,0.0,1.0,Private,5th-6th,Widowed,Other-service,Unmarried,Black,Female,United-States,<=50K
41.0,195970.02,10.0,0.0,0.0,1.0,Self-emp-not-inc,Some-college,Widowed,Prof-specialty,Own-child,White,Female,United-States,<=50K
34.0,1484705.0,13.0,0.0,0.0,42.0,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,United-States,<=50K
35.0,241960.86,13.0,0.0,0.0,40.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,Philippines,>50K
43.0,224159.75,10.0,0.0,0.0,40.0,,Some-college,Married-civ-spouse,,Husband,White,Male,United-States,<=50K
36.0,169222.34,13.0,0.0,0.0,40.0,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,>50K
90.0,195874.42,14.0,0.0,0.0,15.0,Self-emp-not-inc,Masters,Never-married,Sales,Not-in-family,White,Male,United-States,<=50K
41.0,218895.66,10.0,0.0,0.0,1.0,Private,Some-college,Married-civ-spouse,Sales,Wife,White,Female,United-States,>50K
55.0,191988.78,9.0,0.0,0.0,1.0,Private,HS-grad,Widowed,Exec-managerial,Unmarried,White,Female,United-States,>50K
28.0,138404.53,9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Other-service,Unmarried,Black,Female,United-States,<=50K
29.0,150248.48,10.0,0.0,0.0,50.0,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
54.0,118575.3,1.0,0.0,0.0,40.0,,10th,Widowed,,Not-in-family,White,Male,United-States,<=50K
49.0,203779.34,9.0,0.0,0.0,40.0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
20.0,1484705.0,9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
32.0,149503.31,9.0,0.0,0.0,40.0,Private,HS-grad,Divorced,Other-service,Not-in-family,White,Female,United-States,<=50K
17.0,142207.97,9.0,0.0,0.0,36.0,Private,11th,Never-married,Sales,Own-child,White,Male,United-States,<=50K
33.0,113565.74,9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,<=50K
28.0,1484705.0,10.0,0.0,0.0,40.0,Private,Assoc-acdm,Never-married,Adm-clerical,Not-in-family,White,Female,Guatemala,<=50K
18.623577,181742.52,1.0,0.0,0.0,40.0,Private,11th,Never-married,Sales,Other-relative,Black,Male,United-States,<=50K
23.0,187795.03,9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,<=50K
32.54869,291419.16,1.0,0.0,0.0,40.0,Private,11th,Never-married,Other-service,Other-relative,White,Male,Mexico,<=50K
42.0,260993.45,13.0,0.0,0.0,99.0,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
36.0,210840.5,9.0,0.0,0.0,40.0,Federal-gov,HS-grad,Divorced,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
23.0,71219.9,9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
34.0,99361.71,10.0,0.0,0.0,40.0,,Some-college,Married-civ-spouse,,Husband,White,Male,United-States,<=50K
40.0,62631.395,10.0,0.0,0.0,55.0,Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
28.0,213159.58,10.0,0.0,0.0,40.0,Private,Some-college,Never-married,Sales,Not-in-family,White,Male,United-States,<=50K
29.0,156002.62,13.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
35.0,99416.086,10.0,0.0,0.0,40.0,Federal-gov,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
25.0,186530.94,10.0,0.0,0.0,40.0,Private,Some-college,Never-married,Handlers-cleaners,Unmarried,White,Male,United-States,<=50K
44.0,13492.0,13.0,0.0,0.0,40.0,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
44.0,1484705.0,10.0,0.0,0.0,50.0,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Female,United-States,>50K
27.0,190256.36,9.0,0.0,0.0,40.0,Private,HS-grad,Divorced,Craft-repair,Own-child,White,Male,United-States,<=50K
27.0,177302.97,10.0,0.0,0.0,40.0,Private,Some-college,Never-married,Sales,Own-child,White,Male,United-States,<=50K
45.0,162731.69,10.0,2178.0188,0.0,40.0,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
33.0,205318.16,13.0,0.0,0.0,40.0,Local-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,<=50K
42.0,137237.33,11.0,0.0,0.0,25.0,State-gov,Assoc-acdm,Never-married,Other-service,Not-in-family,Black,Male,United-States,<=50K
41.0,102496.03,10.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
25.0,229282.0,10.0,0.0,1977.0,65.0,,Some-college,Never-married,,Not-in-family,White,Male,United-States,<=50K
30.0,167524.75,6.0,0.0,0.0,40.0,Private,10th,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
23.0,241203.9,9.0,0.0,0.0,40.0,Private,11th,Married-civ-spouse,Other-service,Husband,Black,Male,United-States,<=50K
50.0,157382.6,10.0,0.0,0.0,40.0,Private,Some-college,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
90.0,206375.19,10.0,0.0,1887.0,1.0,Private,Some-college,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,>50K
68.73412,166527.98,9.0,99999.0,0.0,32.0,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,El-Salvador,<=50K
24.0,76365.26,13.0,7298.0,0.0,70.0,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,United-States,>50K
54.0,254556.6,9.0,0.0,0.0,40.0,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,White,Male,United-States,<=50K
26.0,122246.945,10.0,0.0,0.0,40.0,Local-gov,Some-college,Never-married,Adm-clerical,Own-child,White,Female,United-States,<=50K
31.0,13492.0,9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
23.0,247689.86,12.0,0.0,0.0,40.0,Private,Assoc-acdm,Never-married,Adm-clerical,Other-relative,White,Male,Mexico,<=50K
37.0,210375.53,9.0,0.0,0.0,10.0,,HS-grad,Divorced,,Own-child,White,Female,United-States,<=50K
50.0,13492.0,10.0,0.0,0.0,40.0,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
38.0,13492.0,13.0,0.0,0.0,35.0,,Bachelors,Married-spouse-absent,,Not-in-family,White,Male,United-States,<=50K
26.0,294460.53,10.0,0.0,0.0,35.0,Private,Some-college,Never-married,Tech-support,Own-child,White,Male,United-States,<=50K
37.0,177584.17,13.0,4544.492,0.0,60.0,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
34.0,106635.984,10.0,0.0,0.0,40.0,Private,Assoc-voc,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
49.0,220855.56,9.0,0.0,0.0,40.0,Private,HS-grad,Divorced,Transport-moving,Not-in-family,White,Male,United-States,<=50K
17.0,202173.23,10.0,0.0,0.0,24.0,Local-gov,Some-college,Never-married,Adm-clerical,Own-child,White,Female,United-States,<=50K
60.0,142694.72,9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
45.0,199756.34,9.0,0.0,0.0,35.0,Local-gov,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,United-States,>50K
40.0,272153.5,13.0,0.0,0.0,40.0,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
24.0,175634.81,9.0,0.0,0.0,75.0,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
30.0,108529.305,13.0,0.0,0.0,40.0,Private,Assoc-acdm,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
17.0,220421.64,10.0,0.0,0.0,32.0,,Some-college,Never-married,,Own-child,White,Female,United-States,<=50K
90.0,295083.44,9.0,0.0,0.0,40.0,Private,7th-8th,Married-civ-spouse,Transport-moving,Husband,White,Male,Cuba,<=50K
